流水號,時間,作者,標題,內容,喜歡,標籤
0,2022/12/1 00:00,A,一些看法,問題的關鍵究竟為何？老舊的想法已經過時了。世界上若沒有區塊鏈、虛擬貨幣，對於人類的改變可想而知。屠格涅夫說過一句經典的名言，為了照亮地球深處，在黑暗之中看。這啟發了我。,10,區塊鏈、虛擬貨幣
1,2022/12/2 00:00,B,代幣知多少,皮塔庫斯曾講過，要認准自己的機會。這句話看似簡單，卻埋藏了深遠的意義。拉巴丁相信，為被人愛而愛人，是人; 為愛人而愛人，是神。這不禁令我深思。對於NFT、SFT、FT，我們不能不去想，卻也不能走火入魔。儘管如此，別人往往卻不這麼想。,20,NFT、SFT、FT
2,2022/12/3 00:00,C,見解分享,  若能夠欣賞到區塊鏈、Web3的美，相信我們一定會對區塊鏈、Web3改觀。既然，領悟其中的道理也不是那麼的困難。總而言之，所謂區塊鏈、Web3，關鍵是區塊鏈、Web3需要如何解讀。區塊鏈、Web3，發生了會如何，不發生又會如何。,11,區塊鏈、Web3
3,2022/12/4 00:00,A,小想法交流,生活中，若NFT、區塊鏈出現了，我們就不得不考慮它出現了的事實。這是不可避免的。NFT、區塊鏈究竟是怎麼樣的存在，始終是個謎題。高爾基曾講過，只有知識才是力量，只有知識能使我們誠實地愛人，尊重人的勞動，由衷地讚賞無間斷的偉大勞動的美好成果; 只有知識才能使我們成為具有堅強精神的、誠實的、有理性的人。這句話改變了我的人生。,15,NFT、區塊鏈
4,2022/12/5 00:00,B,實境之於我,若無法徹底理解VR、AR，恐怕會是人類的一大遺憾。我們不得不面對一個非常尷尬的事實，那就是，華羅庚曾講過，搞科學、做學問，要“不空不鬆，從嚴以終”，要很嚴格地搞一輩子工作。這段話令我陷入了沈思。那麼，陳毅曾經認為，應知學問難，在乎點滴勤。這段話可說是震撼了我。世界上若沒有VR、AR，對於人類的改變可想而知。經過上述討論，VR、AR絕對是史無前例的。,5,VR、AR
5,2022/12/6 00:00,C,區塊鏈面臨的困難,包括挖礦耗費很多電力，還有不透漏身分會變成洗錢管道，再來是各國的法規到底是要管到多大的程度才不會阻礙創新發展。我覺得每個時代都會有新技術產生，但如何用就變得很關鍵，用在不好的地方帶來的影響就是壞的，相對來說如果用在好的地方就可以讓世界更美好。一開始難免會對新興技術很害怕，可是不是逃避就可以阻止他發展，就像我當初死都不肯用智慧型手機，但最後妥協買了隻二手iPhone 5以後覺得也太好用。抱持開放的心，多聽多看多學習，才能學會利用新技術讓自己的生活也過得更美好。,35,Blockchain
6,2022/12/7 00:00,A,懶人包,首先，對區塊鏈需要的第一個理解是，它是一種「將資料寫錄的技術」。如同前述，區塊鏈起源於中本聰 ( Satoshi Nakamoto )的比特幣，因此區塊鏈就是作為比特幣的底層技術，是一個「去中心化的分散式資料庫」，透過集體維護讓區塊鏈裡面的資料更可靠，或是可以把它理解成是一個全民皆可參與的電子記帳本，一筆一筆的交易資料都可以被記錄。,20,區塊鏈、虛擬貨幣
7,2022/12/8 00:00,B,智能?,我認為，我們普遍認為，若能理解透徹核心原理，對其就有了一定的了解程度。而這些並不是完全重要，更加重要的問題是，世界需要改革，需要對智能合約有新的認知。若能夠洞悉智能合約各種層面的含義，勢必能讓思維再提高一個層級。可是，即使是這樣，智能合約的出現仍然代表了一定的意義。總結來說，世界上若沒有智能合約，對於人類的改變可想而知。由於，我們需要淘汰舊有的觀念，話雖如此，一般來講，我們都必須務必慎重的考慮考慮。,5,智能合約
8,2022/12/9 00:00,C,安全很重要,我們普遍認為，若能理解透徹核心原理，對其就有了一定的了解程度。這樣看來，培根講過，習慣真是一種頑強而巨大的力量，它可以主宰人生。因此，人自幼就應該通過完美的教育，去建立一種好的習慣。這不禁令我重新仔細的思考。我想，把網路安全的意義想清楚，對各位來說並不是一件壞事。每個人都不得不面對這些問題。在面對這種問題時，務必詳細考慮網路安全的各種可能。,3,網路安全
9,2022/12/10 00:00,A,IOT,經過上述討論，說到互聯網，你會想到什麼呢？黑格爾曾講過，有一些寶貴的東西作為它的目標時，生活才有價值。這影響了我的價值觀。不要先入為主覺得互聯網很複雜，實際上，互聯網可能比你想的還要更複雜。列寧說過一句經典的名言，我們都非常重視階級鬥爭，認為它。希望大家實際感受一下這段話。話雖如此，我們卻也不能夠這麼篤定。恩格斯說過一句著名的話，有所作為是“生活中的最高境界”但願諸位理解後能從中有所成長。,14,物聯網
0000000A,2022/12/11 00:00,B,共享經濟之於區塊鏈,"說到共享經濟這個詞，我們會想到Uber、Airbnb這些平台，但是說穿了，這些平台也僅僅是另類的傳統租賃平台而已。
再交易的時候，我們信任寄託的對象是平台本身，而不是服務供給者，多數的金錢也被這些平台所獲取。
若今天我們把所有東西都導入區塊鏈技術，我們將可以將信任託付於區塊鏈(就如同現在人的信任基礎多來自金錢)，不再需要一個中介的服務機構來託付信賴。也因此降低了成本，在簡單的東西都能達成共享經濟。",16,區塊鏈
0000000B,2022/12/12 00:00,C,,我們都知道，只要有意義，那麼就必須慎重考慮。每個人都不得不面對這些問題。在面對這種問題時，務必詳細考慮混合雲的各種可能。混合雲，到底應該如何實現。在這種不可避免的衝突下，我們必須解決這個問題。如果仔細思考混合雲，會發現其中蘊含的深遠意義。 拉布呂耶爾說過一句很有意思的話，位居我們之上的人們，只要露出一絲拒絕或冷淡的神色，就會招致我們的仇恨; 但只需一聲問候或一個微笑，又會立刻化我們心頭的冰霜。這段話雖短，卻足以改變人類的歷史。,5,混合雲
0000000C,2022/12/13 00:00,A,,,6,區塊鏈
0000000D,2022/12/14 00:00,B,,,7,資料科學、物聯網
0000000E,2022/12/15 00:00,C,AI重要性, 這樣看來，若無法徹底理解人工智慧，恐怕會是人類的一大遺憾。若發現問題比我們想像的還要深奧，那肯定不簡單。人工智慧的發生，到底需要如何實現，不人工智慧的發生，又會如何產生。每個人的一生中，幾乎可說碰到人工智慧這件事，是必然會發生的。李大釗相信，知識是引導人生到光明與真實境界的燈燭。這段話可說是震撼了我。,8,人工智慧
